PART_ID,DESCRIPTION,CATEGORY,SUBCATEGORY
MED-0121,Pulse Oximeter Cable,PATIENT_MONITORING,CABLES
MED-0122,Pulse Oximeter Cable,PATIENT_MONITORING,CABLES
MED-0123,SpO2 Sensor,PATIENT_MONITORING,SENSORS
MED-0124,Patient Monitor Main Board,PATIENT_MONITORING,CONTROL MODULES
MED-0125,SpO2 Sensor,PATIENT_MONITORING,SENSORS
MED-0126,ECG Cable Assembly,PATIENT_MONITORING,CABLES
MED-0127,Patient Monitor Battery,PATIENT_MONITORING,POWER COMPONENTS
MED-0128,Monitor Mounting Arm,PATIENT_MONITORING,MECHANICAL COMPONENTS
MED-0129,ECG Cable Assembly,PATIENT_MONITORING,CABLES
MED-0130,Pulse Oximeter Cable,PATIENT_MONITORING,CABLES
MED-0131,Patient Monitor Main Board,PATIENT_MONITORING,CONTROL MODULES
MED-0132,Blood Pressure Module,PATIENT_MONITORING,SENSOR MODULES
MED-0133,ECG Cable Assembly,PATIENT_MONITORING,CABLES
MED-0134,Patient Monitor Battery,PATIENT_MONITORING,POWER COMPONENTS
MED-0135,Patient Monitor Battery,PATIENT_MONITORING,POWER COMPONENTS
MED-0136,Blood Pressure Module,PATIENT_MONITORING,SENSOR MODULES
MED-0137,Monitor Mounting Arm,PATIENT_MONITORING,MECHANICAL COMPONENTS
MED-0138,Patient Monitor Display,PATIENT_MONITORING,DISPLAY COMPONENTS
MED-0139,ECG Cable Assembly,PATIENT_MONITORING,CABLES
MED-0140,ECG Electrode Lead,PATIENT_MONITORING,ELECTRODES
MED-0141,Monitor Mounting Arm,PATIENT_MONITORING,MECHANICAL COMPONENTS
MED-0142,Blood Pressure Module,PATIENT_MONITORING,SENSOR MODULES
MED-0143,Pulse Oximeter Cable,PATIENT_MONITORING,CABLES
MED-0144,Patient Monitor Main Board,PATIENT_MONITORING,CONTROL MODULES
MED-0145,Pulse Oximeter Cable,PATIENT_MONITORING,CABLES
MED-0146,ECG Electrode Lead,PATIENT_MONITORING,ELECTRODES
MED-0147,ECG Cable Assembly,PATIENT_MONITORING,CABLES
MED-0148,Patient Monitor Battery,PATIENT_MONITORING,POWER COMPONENTS
MED-0149,Blood Pressure Module,PATIENT_MONITORING,SENSOR MODULES
MED-0150,Monitor Mounting Arm,PATIENT_MONITORING,MECHANICAL COMPONENTS
MED-0151,Monitor Mounting Arm,PATIENT_MONITORING,MECHANICAL COMPONENTS
MED-0152,ECG Cable Assembly,PATIENT_MONITORING,CABLES
MED-0153,ECG Electrode Lead,PATIENT_MONITORING,ELECTRODES
MED-0154,ECG Electrode Lead,PATIENT_MONITORING,ELECTRODES
MED-0155,Patient Monitor Main Board,PATIENT_MONITORING,CONTROL MODULES
MED-0156,Monitor Mounting Arm,PATIENT_MONITORING,MECHANICAL COMPONENTS
MED-0157,ECG Electrode Lead,PATIENT_MONITORING,ELECTRODES
MED-0158,Pulse Oximeter Cable,PATIENT_MONITORING,CABLES
MED-0159,Temperature Probe,PATIENT_MONITORING,SENSORS
MED-0160,ECG Cable Assembly,PATIENT_MONITORING,CABLES
MED-0161,Patient Monitor Display,PATIENT_MONITORING,DISPLAY COMPONENTS
MED-0162,Patient Monitor Main Board,PATIENT_MONITORING,CONTROL MODULES
MED-0163,Patient Monitor Battery,PATIENT_MONITORING,POWER COMPONENTS
MED-0164,Temperature Probe,PATIENT_MONITORING,SENSORS
MED-0165,Patient Monitor Main Board,PATIENT_MONITORING,CONTROL MODULES
MED-0166,SpO2 Sensor,PATIENT_MONITORING,SENSORS
MED-0167,Monitor Mounting Arm,PATIENT_MONITORING,MECHANICAL COMPONENTS
MED-0168,Temperature Probe,PATIENT_MONITORING,SENSORS
MED-0169,Patient Monitor Display,PATIENT_MONITORING,DISPLAY COMPONENTS
MED-0170,Patient Monitor Display,PATIENT_MONITORING,DISPLAY COMPONENTS
MED-0171,Monitor Mounting Arm,PATIENT_MONITORING,MECHANICAL COMPONENTS
MED-0172,Pulse Oximeter Cable,PATIENT_MONITORING,CABLES
MED-0173,Pulse Oximeter Cable,PATIENT_MONITORING,CABLES
MED-0174,Blood Pressure Module,PATIENT_MONITORING,SENSOR MODULES
MED-0175,ECG Electrode Lead,PATIENT_MONITORING,ELECTRODES
MED-0176,Patient Monitor Battery,PATIENT_MONITORING,POWER COMPONENTS
MED-0177,Monitor Mounting Arm,PATIENT_MONITORING,MECHANICAL COMPONENTS
MED-0178,ECG Electrode Lead,PATIENT_MONITORING,ELECTRODES
MED-0179,Blood Pressure Module,PATIENT_MONITORING,SENSOR MODULES
MED-0180,ECG Electrode Lead,PATIENT_MONITORING,ELECTRODES
MED-0181,Patient Monitor Main Board,PATIENT_MONITORING,CONTROL MODULES
MED-0182,ECG Electrode Lead,PATIENT_MONITORING,ELECTRODES
MED-0183,SpO2 Sensor,PATIENT_MONITORING,SENSORS
MED-0184,Temperature Probe,PATIENT_MONITORING,SENSORS
MED-0185,Pulse Oximeter Cable,PATIENT_MONITORING,CABLES
MED-0186,Blood Pressure Module,PATIENT_MONITORING,SENSOR MODULES
MED-0187,Patient Monitor Main Board,PATIENT_MONITORING,CONTROL MODULES
MED-0188,ECG Cable Assembly,PATIENT_MONITORING,CABLES
MED-0189,Pulse Oximeter Cable,PATIENT_MONITORING,CABLES
MED-0190,Patient Monitor Display,PATIENT_MONITORING,DISPLAY COMPONENTS
MED-0191,Monitor Mounting Arm,PATIENT_MONITORING,MECHANICAL COMPONENTS
MED-0192,ECG Cable Assembly,PATIENT_MONITORING,CABLES
MED-0193,Monitor Mounting Arm,PATIENT_MONITORING,MECHANICAL COMPONENTS
MED-0194,ECG Electrode Lead,PATIENT_MONITORING,ELECTRODES
MED-0195,ECG Electrode Lead,PATIENT_MONITORING,ELECTRODES
MED-0196,Monitor Mounting Arm,PATIENT_MONITORING,MECHANICAL COMPONENTS
MED-0197,Pulse Oximeter Cable,PATIENT_MONITORING,CABLES
MED-0198,Monitor Mounting Arm,PATIENT_MONITORING,MECHANICAL COMPONENTS
MED-0199,Patient Monitor Battery,PATIENT_MONITORING,POWER COMPONENTS
MED-0200,Patient Monitor Main Board,PATIENT_MONITORING,CONTROL MODULES
MED-0201,Temperature Probe,PATIENT_MONITORING,SENSORS
MED-0202,ECG Electrode Lead,PATIENT_MONITORING,ELECTRODES
MED-0203,Patient Monitor Battery,PATIENT_MONITORING,POWER COMPONENTS
MED-0204,Pulse Oximeter Cable,PATIENT_MONITORING,CABLES
MED-0205,Patient Monitor Main Board,PATIENT_MONITORING,CONTROL MODULES
MED-0206,Temperature Probe,PATIENT_MONITORING,SENSORS
MED-0207,ECG Cable Assembly,PATIENT_MONITORING,CABLES
MED-0208,SpO2 Sensor,PATIENT_MONITORING,SENSORS
MED-0209,Temperature Probe,PATIENT_MONITORING,SENSORS
MED-0210,Patient Monitor Battery,PATIENT_MONITORING,POWER COMPONENTS
MED-0211,Patient Monitor Main Board,PATIENT_MONITORING,CONTROL MODULES
MED-0212,Patient Monitor Battery,PATIENT_MONITORING,POWER COMPONENTS
MED-0213,Patient Monitor Display,PATIENT_MONITORING,DISPLAY COMPONENTS
MED-0214,Monitor Mounting Arm,PATIENT_MONITORING,MECHANICAL COMPONENTS
MED-0215,Pulse Oximeter Cable,PATIENT_MONITORING,CABLES
MED-0216,Patient Monitor Battery,PATIENT_MONITORING,POWER COMPONENTS
MED-0217,Monitor Mounting Arm,PATIENT_MONITORING,MECHANICAL COMPONENTS
MED-0218,Temperature Probe,PATIENT_MONITORING,SENSORS
MED-0219,Blood Pressure Module,PATIENT_MONITORING,SENSOR MODULES
MED-0220,Temperature Probe,PATIENT_MONITORING,SENSORS
MED-0221,ECG Electrode Lead,PATIENT_MONITORING,ELECTRODES
MED-0222,Patient Monitor Display,PATIENT_MONITORING,DISPLAY COMPONENTS
MED-0223,Blood Pressure Module,PATIENT_MONITORING,SENSOR MODULES
MED-0224,ECG Electrode Lead,PATIENT_MONITORING,ELECTRODES
MED-0225,Temperature Probe,PATIENT_MONITORING,SENSORS
MED-0226,Patient Monitor Main Board,PATIENT_MONITORING,CONTROL MODULES
MED-0227,Blood Pressure Module,PATIENT_MONITORING,SENSOR MODULES
MED-0228,ECG Electrode Lead,PATIENT_MONITORING,ELECTRODES
MED-0229,ECG Electrode Lead,PATIENT_MONITORING,ELECTRODES
MED-0230,Blood Pressure Module,PATIENT_MONITORING,SENSOR MODULES
MED-0231,Respiratory Pressure Sensor,RESPIRATORY,SENSORS
MED-0232,Respiratory Pressure Sensor,RESPIRATORY,SENSORS
MED-0233,Ventilator Tubing Assembly,RESPIRATORY,TUBING
MED-0234,Ventilator Valve,RESPIRATORY,VALVES
MED-0235,Ventilator Flow Sensor,RESPIRATORY,SENSORS
MED-0236,Ventilator Motor,RESPIRATORY,MOTORS
MED-0237,Ventilator Display Module,RESPIRATORY,DISPLAY COMPONENTS
MED-0238,Ventilator Motor,RESPIRATORY,MOTORS
MED-0239,Respiratory Pressure Sensor,RESPIRATORY,SENSORS
MED-0240,Ventilator Display Module,RESPIRATORY,DISPLAY COMPONENTS
MED-0241,Ventilator Flow Sensor,RESPIRATORY,SENSORS
MED-0242,Ventilator Flow Sensor,RESPIRATORY,SENSORS
MED-0243,Ventilator Tubing Assembly,RESPIRATORY,TUBING
MED-0244,Ventilator Air Filter,RESPIRATORY,FILTERS
MED-0245,Respiratory Pressure Sensor,RESPIRATORY,SENSORS
MED-0246,Ventilator Air Filter,RESPIRATORY,FILTERS
MED-0247,Ventilator Tubing Assembly,RESPIRATORY,TUBING
MED-0248,Ventilator Tubing Assembly,RESPIRATORY,TUBING
MED-0249,Ventilator Tubing Assembly,RESPIRATORY,TUBING
MED-0250,Ventilator Control Board,RESPIRATORY,CONTROL MODULES
MED-0251,Respiratory Pressure Sensor,RESPIRATORY,SENSORS
MED-0252,Respiratory Pressure Sensor,RESPIRATORY,SENSORS
MED-0253,Ventilator Tubing Assembly,RESPIRATORY,TUBING
MED-0254,Ventilator Tubing Assembly,RESPIRATORY,TUBING
MED-0255,Respiratory Pressure Sensor,RESPIRATORY,SENSORS
MED-0256,Ventilator Tubing Assembly,RESPIRATORY,TUBING
MED-0257,Ventilator Flow Sensor,RESPIRATORY,SENSORS
MED-0258,Respiratory Pressure Sensor,RESPIRATORY,SENSORS
MED-0259,Respiratory Humidifier Heater,RESPIRATORY,HEATING COMPONENTS
MED-0260,Ventilator Flow Sensor,RESPIRATORY,SENSORS
MED-0261,Respiratory Humidifier Heater,RESPIRATORY,HEATING COMPONENTS
MED-0262,Ventilator Flow Sensor,RESPIRATORY,SENSORS
MED-0263,Ventilator Valve,RESPIRATORY,VALVES
MED-0264,Ventilator Valve,RESPIRATORY,VALVES
MED-0265,Ventilator Tubing Assembly,RESPIRATORY,TUBING
MED-0266,Ventilator Oxygen Sensor,RESPIRATORY,SENSORS
MED-0267,Ventilator Control Board,RESPIRATORY,CONTROL MODULES
MED-0268,Ventilator Control Board,RESPIRATORY,CONTROL MODULES
MED-0269,Ventilator Tubing Assembly,RESPIRATORY,TUBING
MED-0270,Ventilator Flow Sensor,RESPIRATORY,SENSORS
MED-0271,Ventilator Valve,RESPIRATORY,VALVES
MED-0272,Ventilator Oxygen Sensor,RESPIRATORY,SENSORS
MED-0273,Ventilator Valve,RESPIRATORY,VALVES
MED-0274,Respiratory Pressure Sensor,RESPIRATORY,SENSORS
MED-0275,Ventilator Flow Sensor,RESPIRATORY,SENSORS
MED-0276,Ventilator Valve,RESPIRATORY,VALVES
MED-0277,Respiratory Humidifier Heater,RESPIRATORY,HEATING COMPONENTS
MED-0278,Ventilator Oxygen Sensor,RESPIRATORY,SENSORS
MED-0279,Respiratory Humidifier Heater,RESPIRATORY,HEATING COMPONENTS
MED-0280,Ventilator Flow Sensor,RESPIRATORY,SENSORS
MED-0281,Ventilator Oxygen Sensor,RESPIRATORY,SENSORS
MED-0282,Ventilator Valve,RESPIRATORY,VALVES
MED-0283,Ventilator Flow Sensor,RESPIRATORY,SENSORS
MED-0284,Ventilator Air Filter,RESPIRATORY,FILTERS
MED-0285,Respiratory Pressure Sensor,RESPIRATORY,SENSORS
MED-0286,Respiratory Humidifier Heater,RESPIRATORY,HEATING COMPONENTS
MED-0287,Ventilator Air Filter,RESPIRATORY,FILTERS
MED-0288,Respiratory Pressure Sensor,RESPIRATORY,SENSORS
MED-0289,Respiratory Humidifier Heater,RESPIRATORY,HEATING COMPONENTS
MED-0290,Respiratory Humidifier Heater,RESPIRATORY,HEATING COMPONENTS
MED-0291,Ventilator Display Module,RESPIRATORY,DISPLAY COMPONENTS
MED-0292,Ventilator Flow Sensor,RESPIRATORY,SENSORS
MED-0293,Ventilator Motor,RESPIRATORY,MOTORS
MED-0294,Ventilator Air Filter,RESPIRATORY,FILTERS
MED-0295,Ventilator Display Module,RESPIRATORY,DISPLAY COMPONENTS
MED-0296,Ventilator Tubing Assembly,RESPIRATORY,TUBING
MED-0297,Ventilator Valve,RESPIRATORY,VALVES
MED-0298,Ventilator Tubing Assembly,RESPIRATORY,TUBING
MED-0299,Ventilator Tubing Assembly,RESPIRATORY,TUBING
MED-0300,Ventilator Valve,RESPIRATORY,VALVES
MED-0301,Ventilator Valve,RESPIRATORY,VALVES
MED-0302,Respiratory Humidifier Heater,RESPIRATORY,HEATING COMPONENTS
MED-0303,Ventilator Display Module,RESPIRATORY,DISPLAY COMPONENTS
MED-0304,Ventilator Valve,RESPIRATORY,VALVES
MED-0305,Ventilator Control Board,RESPIRATORY,CONTROL MODULES
MED-0306,Ventilator Display Module,RESPIRATORY,DISPLAY COMPONENTS
MED-0307,Ventilator Oxygen Sensor,RESPIRATORY,SENSORS
MED-0308,Ventilator Motor,RESPIRATORY,MOTORS
MED-0309,Ventilator Oxygen Sensor,RESPIRATORY,SENSORS
MED-0310,Ventilator Control Board,RESPIRATORY,CONTROL MODULES
MED-0311,Ventilator Motor,RESPIRATORY,MOTORS
MED-0312,Ventilator Air Filter,RESPIRATORY,FILTERS
MED-0313,Ventilator Flow Sensor,RESPIRATORY,SENSORS
MED-0314,Ventilator Motor,RESPIRATORY,MOTORS
MED-0315,Respiratory Pressure Sensor,RESPIRATORY,SENSORS
MED-0316,Ventilator Flow Sensor,RESPIRATORY,SENSORS
MED-0317,Respiratory Pressure Sensor,RESPIRATORY,SENSORS
MED-0318,Ventilator Control Board,RESPIRATORY,CONTROL MODULES
MED-0319,Ventilator Tubing Assembly,RESPIRATORY,TUBING
MED-0320,Ventilator Air Filter,RESPIRATORY,FILTERS
MED-0321,Infusion Pump Battery,INFUSION,POWER COMPONENTS
MED-0322,Infusion Pump Display,INFUSION,DISPLAY COMPONENTS
MED-0323,Infusion Pump Valve,INFUSION,VALVES
MED-0324,Infusion Pump Motor,INFUSION,MOTORS
MED-0325,Infusion Pump Door Assembly,INFUSION,MECHANICAL COMPONENTS
MED-0326,Infusion Pump Display,INFUSION,DISPLAY COMPONENTS
MED-0327,Infusion Pump Control Board,INFUSION,CONTROL MODULES
MED-0328,Infusion Pump Cable,INFUSION,CABLES
MED-0329,Infusion Pump Pressure Sensor,INFUSION,SENSORS
MED-0330,Infusion Pump Control Board,INFUSION,CONTROL MODULES
MED-0331,Infusion Pump Control Board,INFUSION,CONTROL MODULES
MED-0332,Infusion Pump Door Assembly,INFUSION,MECHANICAL COMPONENTS
MED-0333,Infusion Pump Pressure Sensor,INFUSION,SENSORS
MED-0334,Infusion Pump Pressure Sensor,INFUSION,SENSORS
MED-0335,Infusion Pump Pressure Sensor,INFUSION,SENSORS
MED-0336,Syringe Pump Control Module,INFUSION,CONTROL MODULES
MED-0337,Infusion Pump Cable,INFUSION,CABLES
MED-0338,Infusion Pump Cable,INFUSION,CABLES
MED-0339,Infusion Pump Pressure Sensor,INFUSION,SENSORS
MED-0340,Infusion Pump Door Assembly,INFUSION,MECHANICAL COMPONENTS
MED-0341,Infusion Pump Motor,INFUSION,MOTORS
MED-0342,Syringe Pump Motor,INFUSION,MOTORS
MED-0343,Infusion Pump Motor,INFUSION,MOTORS
MED-0344,Infusion Pump Control Board,INFUSION,CONTROL MODULES
MED-0345,Infusion Pump Cable,INFUSION,CABLES
MED-0346,Infusion Pump Cable,INFUSION,CABLES
MED-0347,Infusion Pump Door Assembly,INFUSION,MECHANICAL COMPONENTS
MED-0348,Syringe Pump Motor,INFUSION,MOTORS
MED-0349,Infusion Pump Cable,INFUSION,CABLES
MED-0350,Infusion Pump Valve,INFUSION,VALVES
MED-0351,Infusion Pump Pressure Sensor,INFUSION,SENSORS
MED-0352,Syringe Pump Control Module,INFUSION,CONTROL MODULES
MED-0353,Infusion Pump Door Assembly,INFUSION,MECHANICAL COMPONENTS
MED-0354,Infusion Pump Control Board,INFUSION,CONTROL MODULES
MED-0355,Infusion Pump Battery,INFUSION,POWER COMPONENTS
MED-0356,Infusion Pump Control Board,INFUSION,CONTROL MODULES
MED-0357,Infusion Pump Control Board,INFUSION,CONTROL MODULES
MED-0358,Infusion Pump Display,INFUSION,DISPLAY COMPONENTS
MED-0359,Infusion Pump Door Assembly,INFUSION,MECHANICAL COMPONENTS
MED-0360,Infusion Pump Battery,INFUSION,POWER COMPONENTS
MED-0361,Syringe Pump Control Module,INFUSION,CONTROL MODULES
MED-0362,Infusion Pump Pressure Sensor,INFUSION,SENSORS
MED-0363,Syringe Pump Motor,INFUSION,MOTORS
MED-0364,Infusion Pump Battery,INFUSION,POWER COMPONENTS
MED-0365,Syringe Pump Motor,INFUSION,MOTORS
MED-0366,Infusion Pump Motor,INFUSION,MOTORS
MED-0367,Infusion Pump Motor,INFUSION,MOTORS
MED-0368,Infusion Pump Door Assembly,INFUSION,MECHANICAL COMPONENTS
MED-0369,Infusion Pump Control Board,INFUSION,CONTROL MODULES
MED-0370,Syringe Pump Control Module,INFUSION,CONTROL MODULES
MED-0371,Infusion Pump Valve,INFUSION,VALVES
MED-0372,Infusion Pump Display,INFUSION,DISPLAY COMPONENTS
MED-0373,Syringe Pump Control Module,INFUSION,CONTROL MODULES
MED-0374,Infusion Pump Door Assembly,INFUSION,MECHANICAL COMPONENTS
MED-0375,Infusion Pump Display,INFUSION,DISPLAY COMPONENTS
MED-0376,Syringe Pump Motor,INFUSION,MOTORS
MED-0377,Infusion Pump Pressure Sensor,INFUSION,SENSORS
MED-0378,Infusion Pump Valve,INFUSION,VALVES
MED-0379,Infusion Pump Valve,INFUSION,VALVES
MED-0380,Infusion Pump Control Board,INFUSION,CONTROL MODULES
MED-0381,Syringe Pump Motor,INFUSION,MOTORS
MED-0382,Syringe Pump Motor,INFUSION,MOTORS
MED-0383,Infusion Pump Pressure Sensor,INFUSION,SENSORS
MED-0384,Syringe Pump Motor,INFUSION,MOTORS
MED-0385,Infusion Pump Door Assembly,INFUSION,MECHANICAL COMPONENTS
MED-0386,Infusion Pump Pressure Sensor,INFUSION,SENSORS
MED-0387,Infusion Pump Control Board,INFUSION,CONTROL MODULES
MED-0388,Infusion Pump Door Assembly,INFUSION,MECHANICAL COMPONENTS
MED-0389,Infusion Pump Pressure Sensor,INFUSION,SENSORS
MED-0390,Infusion Pump Control Board,INFUSION,CONTROL MODULES
MED-0391,Infusion Pump Valve,INFUSION,VALVES
MED-0392,Infusion Pump Battery,INFUSION,POWER COMPONENTS
MED-0393,Infusion Pump Control Board,INFUSION,CONTROL MODULES
MED-0394,Infusion Pump Motor,INFUSION,MOTORS
MED-0395,Infusion Pump Valve,INFUSION,VALVES
MED-0396,Infusion Pump Control Board,INFUSION,CONTROL MODULES
MED-0397,Infusion Pump Pressure Sensor,INFUSION,SENSORS
MED-0398,Infusion Pump Display,INFUSION,DISPLAY COMPONENTS
MED-0399,Infusion Pump Pressure Sensor,INFUSION,SENSORS
MED-0400,Syringe Pump Control Module,INFUSION,CONTROL MODULES
